name,max seats,price per plate,stars,views,min seats,region
Ardor 2.1 Restaurant & Lounge,150,850,4.5,22466,10,central delhi
Hotel Amara,100,1000,4.5,1715,10,south delhi
Southwest Inn,150,850,3,946,10,south delhi
2 Fup of Hotel Country Inn & Suites,125,1200,4.3,4883,10,south delhi
Banquet of Bite Bikaner,100,700,4.4,5490,30,south west delhi
Banquet Hall of The Terrace Sandoz,300,750,4.5,920,50,north west delhi
Sandoz,50,900,4.2,1352,15,north west delhi
ARK Basement of Mona Grand Hotel And Banquet,130,1199,4.5,15,70,east delhi
Nirvana of Mona Grand Hotel And Banquet,130,1199,4.5,867,20,south east delhi
Cafe of Lazy Monk Cafe,25,1000,4.8,590,10,south delhi
Party Hall of Sandoz Rajouri,60,900,3.6,15,20,west delhi
Punjabi Cafe,100,600,4,13300,20,east delhi
Lawn of Viva Palace,250,800,3.8,445,15,south west delhi
Combined of Bff Restro Bar,350,800,4.8,500,100,central delhi
Conference Room of Lazy Monk Cafe,25,1000,4.6,100,10,south delhi
Funmaster,70,950,4.5,600,20,south west delhi
Playhouse by Essex Farms of Fete By Essex Farms Garden And Hall,150,800,4.8,1215,80,south delhi
Mellow Garden,75,800,4,65,10,west delhi
Cafe Desire,50,550,4.8,1000,10,north east delhi
Tapas of Mona Grand Hotel And Banquet,130,1199,3,10,70,east delhi
Section A of 38 Barracks,80,800,3.9,4756,50,central delhi
Banquet of Ikhaya Hotels,150,800,4.2,301,60,south delhi
Terrace of Viva Palace,200,800,4,247,15,south west delhi
Restaurant of Viva Palace,40,800,4,236,15,south west delhi
Restaurant and Party Hall of Maamrit Party Hall and Family Restaurant,50,800,4.8,499,15,west delhi
Lounge of 38 Barracks,50,800,4.1,769,18,central delhi
Banquet Hall of The Veggie Bites,100,699,4.3,1655,20,north west delhi
Viva Banquet of Viva Palace,125,800,4.8,1346,15,south west delhi
Coffee Shop of Viva Palace,24,800,4,167,15,south west delhi
Kitty Party Restaurant and Hall of Maamrit Party Hall and Family Restaurant,45,800,4,193,20,west delhi
Bar of Maamrit Party Hall and Family Restaurant,55,800,4.8,310,25,west delhi
Section C of 38 Barracks,24,800,3.5,4413,10,central delhi
Mahaul Third Floor of Mahaul By Yaara Hotel Ashiyana,25,800,4.5,200,10,south delhi
Restaurant of Bite Bikaner,30,700,4.4,2369,10,south west delhi
Restaurant 1st Floor of Sandoz Lajpat Nagar,35,900,4.5,250,10,south east delhi
Fete of Fete By Essex Farms Garden And Hall,125,1500,4.8,2104,30,south delhi
Bff Restro Bar,200,800,4.8,310,20,central delhi
BFF PDR of Bff Restro Bar,50,800,4.8,290,15,central delhi
Open Air Balcony of Lazy Monk Cafe,16,1000,4.8,340,2,south delhi
Restaurant of Goodwill Hotel,100,800,4,1737,50,south delhi
Restaurant of The Veggie Bites,30,699,4.5,526,10,north west delhi
Rooftop of Ikhaya Hotels,150,800,4.8,980,50,south delhi
Conference Room of Ikhaya Hotels,30,800,4.8,810,10,south delhi
Restaurant of The Orion Greater Kailash,50,699,4.5,770,10,south delhi
1st Floor of Sandoz,60,700,4.5,246,10,south east delhi
Molecule Lounge of Molecule South Delhi,200,1400,4,219,15,south delhi
Molecule Terrace of Molecule South Delhi,200,1400,4,321,15,south delhi
Mirror Lounge & Bar,100,650,3,2249,10,east delhi
Lounge of Red Chilli Kitchen,80,800,2,23,15,south west delhi
Flaming Wok,60,500,3,1223,10,south east delhi
Wok In The Clouds,350,800,3,2940,10,west delhi
Orchid of Rain Tree Banquet,125,. 750 ,3,1673,50,west delhi
Pavilion 75 of ITC Welcome Hotel,80,1500,4,1633,10,south west delhi
Mamagoto Khan Market,150,800,4.4,318,10,south east delhi
Informal,90,1200,4,1082,10,central delhi
WokTok of The Grand Hotel,60,1250,4,467,5,south west delhi
Deez Biryani & Kebabs,50,500,3,1202,5,north delhi
Restaurant of Mealodrama Modern Bistro,120,750,3.9,368,50,west delhi
Karma Kismet,200,1500,4,414,5,south delhi
Asia 21,50,750,3,601,5,east delhi
Krips,60,350,3.6,1371,5,south west delhi
En Fine Japanese Cuisine,50,2500,3,1040,5,south delhi
T Pot Restaurant,50,400,3,1361,5,south delhi
Lutyens of The Royal Plaza,50,1650,4,644,10,north east delhi
Local Cp,250,1400,2,702,10,central delhi
Barshala,150,300,3.9,800,10,north west delhi
Restaurant of The Construction Co.,50,600,2,58,10,south west delhi
Rockers Resto Bar,70,700,3,592,10,north east delhi
Moti Mahal Delux,20,750,4,886,5,south delhi
The Potbelly,80,350,3,1186,15,north east delhi
Pikwik,50,. 750 ,3,1289,10,north west delhi
Combiyard Cafe & Lounge,60,700,3,397,5,south delhi
Perch Wine And Coffee Bar,250,1000,4.5,636,10,south east delhi
Cafe of The Good Food Cafe,40,500,4,71,5,north west delhi
Mudra Lounge & Bar,50,750,3,1449,5,south east delhi
Kaffeine,25,600,3,1145,5,south delhi
My Bar Headquarters,100,1800,3,918,25,central delhi
Matchbox,120,1700,4,886,10,south delhi
Setz Restaurant,300,4100,4,1573,25,south west delhi
Ambrosia Bliss,120,1500,4,871,25,central delhi
Pakkaa Desi,20,350,3,1627,10,west delhi
Da Code,80,900,3,6195,10,south delhi
Gung The Palace,60,1400,4,1456,5,south delhi
Hotel L Affaire,150,800,3,740,10,central delhi
Amber,80,700,3,1050,10,central delhi
Open House,50,1600,3,435,5,central delhi
Sakura Restaurant of The Metropolitan Hotel,45,2500,3.5,940,5,central delhi
Moti Mahal,100,650,3.8,1697,10,central delhi
1 Oak,100,1400,4,533,50,south east delhi
Royal Green,50,400,3,3183,10,north west delhi
Hotel Regent Continental,150,650,3.5,1361,25,central delhi
the velvet room,100,3500,4.3,1000,10,south delhi
sankalp,80,850,3,200,10,central delhi
wok n curry,30,400,3,1130,10,south delhi
arum cafe and lounge,100,850,3.5,500,15,south delhi
blue water grill,150,750,4,1548,10,west delhi
gedi grill,50,400,4,1252,10,west delhi
metro polis bar,35,400,3,996,10,central delhi
speedy chow,35,300,3.5,1333,10,south delhi
pulse bar and restaurant,70,750,3.2,213,10,south west delhi
the ahaata naile pe dehla,100,1500,4,976,5,central delhi
my bar,100,1100,3,438,5,west delhi
waves restaurant,30,1000,3.5,1571,2,south delhi
elf cafe lounge,50,1000,3.7,1679,2,south delhi
dubliin square,180,750,3,1247,10,north west delhi
boombox cafe,45,1000,4,1249,2,south east delhi
chi kitchen and bar,20,400,3.5,1349,20,south delhi
